Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Dolar,short_mm,medium_mm,large_mm
2020-04-02 00:00:00-03:00,24.38174312155441,24.725694303134357,23.25557700269985,23.7326717376709,34372600.0,0.0,0.0,5.255300045013428,23.7326717376709,23.7326717376709,23.7326717376709
2020-04-03 00:00:00-03:00,23.743762970577038,23.78259605916456,22.05728954872433,22.46781349182129,31650000.0,0.0,0.0,5.348499774932861,23.100242614746094,23.100242614746094,23.100242614746094
2020-04-06 00:00:00-03:00,23.63281320864013,24.071074822256243,23.28331536954917,23.926837921142575,32019300.0,0.0,0.0,5.285299777984619,23.375774383544922,23.375774383544922,23.375774383544922
2020-04-07 00:00:00-03:00,25.069644507456577,25.241621149665097,24.16538575700007,24.287431716918945,34191900.0,0.0,0.0,5.221700191497803,23.603688716888428,23.603688716888428,23.603688716888428
2020-04-08 00:00:00-03:00,24.13210095051809,24.548171656561504,23.88245810364303,24.13764762878418,29464500.0,0.0,0.0,5.123499870300293,23.71048049926758,23.71048049926758,23.71048049926758
2020-04-09 00:00:00-03:00,24.38174264084328,24.67021857063224,23.765957686509623,24.01005172729492,29827800.0,0.0,0.0,5.105800151824951,23.765956497192384,23.760409037272137,23.760409037272137
2020-04-13 00:00:00-03:00,23.965670920703644,24.72569274902344,23.84362284745344,24.72569274902344,22066800.0,0.0,0.0,5.105500221252441,24.217532348632812,23.898306710379465,23.898306710379465
2020-04-14 00:00:00-03:00,25.308190177785608,25.51899989994236,24.686858598857285,24.703500747680664,24713600.0,0.0,0.0,5.198500156402588,24.37286491394043,23.998955965042114,23.998955965042114
2020-04-15 00:00:00-03:00,24.132099706951045,24.354004918570407,23.638362833155146,23.96012306213379,28808700.0,0.0,0.0,5.162000179290772,24.3074031829834,23.9946411980523,23.9946411980523
2020-04-16 00:00:00-03:00,24.29853052571404,24.40393646641925,23.322152131058843,23.72157859802246,24442900.0,0.0,0.0,5.236999988555908,24.224189376831056,23.967334938049316,23.967334938049316
2020-04-17 00:00:00-03:00,24.354007704803568,24.53707772652557,23.97677007163954,24.409482955932617,23604600.0,0.0,0.0,5.230899810791016,24.304075622558592,24.007530212402344,24.007530212402344
2020-04-20 00:00:00-03:00,23.99895546522644,23.99895546522644,23.427552418701605,23.555147171020508,29050700.0,0.0,0.0,5.232699871063232,24.069966506958007,23.969831625620525,23.969831625620525
2020-04-22 00:00:00-03:00,23.63281774873656,23.987866566310995,23.327699622047135,23.79924774169922,22693600.0,0.0,0.0,5.315400123596191,23.88911590576172,23.95670978839581,23.95670978839581
2020-04-23 00:00:00-03:00,24.015601660724744,24.792265708925424,23.749316662806365,24.13764762878418,27171100.0,0.0,0.0,5.315000057220459,23.924620819091796,23.96963391985212,23.96963391985212
2020-04-24 00:00:00-03:00,24.0599764713218,24.52042897346951,23.20564640619848,24.27633285522461,55165900.0,0.0,0.0,5.456900119781494,24.035571670532228,23.99008051554362,23.99008051554362
2020-04-27 00:00:00-03:00,24.664667232820012,24.991976223610692,24.331811564598357,24.71459579467773,25580600.0,0.0,0.0,5.533100128173828,24.09659423828125,24.055542119344075,24.035362720489502
2020-04-28 00:00:00-03:00,25.07519763993104,25.125126214614067,24.121008042097756,24.74788856506348,25680000.0,0.0,0.0,5.5725998878479,24.335142517089842,24.20754712422689,24.07727600546444
